Table 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ignore this column;Use this column: every time you see a business here that is not in the weights sheet delete the row!;;1/1/00;2/1/00;3/1/00;4/1/00;5/1/00;6/1/00;7/1/00;8/1/00;9/1/00;10/1/00;11/1/00;12/1/00;1/1/01;2/1/01;3/1/01;4/1/01;5/1/01;6/1/01;7/1/01;8/1/01;9/1/01;10/1/01;11/1/01;12/1/01;1/1/02;2/1/02;3/1/02;4/1/02;5/1/02;6/1/02;7/1/02;8/1/02;9/1/02;10/1/02;11/1/02;12/1/02;1/1/03;2/1/03;3/1/03;4/1/03;5/1/03;6/1/03;7/1/03;8/1/03;9/1/03;10/1/03;11/1/03;12/1/03;1/1/04;2/1/04;3/1/04;4/1/04;5/1/04;6/1/04;7/1/04;8/1/04;9/1/04;10/1/04;11/1/04;12/1/04;1/1/05;2/1/05;3/1/05;4/1/05;5/1/05;6/1/05;7/1/05;8/1/05;9/1/05;10/1/05;11/1/05;12/1/05;1/1/06;2/1/06;3/1/06;4/1/06;5/1/06;6/1/06;7/1/06;8/1/06;9/1/06;10/1/06;11/1/06;12/1/06;1/1/07;2/1/07;3/1/07;4/1/07;5/1/07;6/1/07;7/1/07;8/1/07;9/1/07;10/1/07;11/1/07;12/1/07;1/1/08;2/1/08;3/1/08;4/1/08;5/1/08;6/1/08;7/1/08;8/1/08;9/1/08;10/1/08;11/1/08;12/1/08;1/1/09;2/1/09;3/1/09;4/1/09;5/1/09;6/1/09;7/1/09;8/1/09;9/1/09;10/1/09;11/1/09;12/1/09;1/1/10;2/1/10;3/1/10;4/1/10;5/1/10;6/1/10;7/1/10;8/1/10;9/1/10;10/1/10;11/1/10;12/1/10;1/1/11;2/1/11;3/1/11;4/1/11;5/1/11;6/1/11;7/1/11;8/1/11;9/1/11;10/1/11;11/1/11;12/1/11;1/1/12;2/1/12;3/1/12;4/1/12;5/1/12;6/1/12;7/1/12;8/1/12;9/1/12;10/1/12;11/1/12;12/1/12;1/1/13;2/1/13;3/1/13;4/1/13;5/1/13;6/1/13;7/1/13;8/1/13;9/1/13;10/1/13;11/1/13;12/1/13;1/1/14;2/1/14;3/1/14;4/1/14;5/1/14;6/1/14;7/1/14;8/1/14;9/1/14;10/1/14;11/1/14;12/1/14;1/1/15;2/1/15;3/1/15;4/1/15;5/1/15;6/1/15;7/1/15;8/1/15;9/1/15;10/1/15;11/1/15;12/1/15;1/1/16;2/1/16;3/1/16;4/1/16;5/1/16;6/1/16;7/1/16;8/1/16;9/1/16;10/1/16;11/1/16;12/1/16;1/1/17;2/1/17;3/1/17;4/1/17;5/1/17;6/1/17;7/1/17;8/1/17;9/1/17;10/1/17;11/1/17;12/1/17;1/1/18;2/1/18;3/1/18;4/1/18;5/1/18;6/1/18;7/1/18;8/1/18;9/1/18;10/1/18;11/1/18;12/1/18;1/1/19;2/1/19;3/1/19;4/1/19;5/1/19;6/1/19;7/1/19;8/1/19;9/1/19;10/1/19;11/1/19;12/1/19;1/1/20;2/1/20;3/1/20;4/1/20;5/1/20;6/1/20;7/1/20;8/1/20;9/1/20;10/1/20;11/1/20;12/1/20;1/1/21;2/1/21;3/1/21;4/1/21;5/1/21;6/1/21;7/1/21;8/1/21;9/1/21;10/1/21;11/1/21;12/1/21;1/1/22;2/1/22;3/1/22;4/1/22;5/1/22;6/1/22;7/1/22;8/1/22;9/1/22;10/1/22;11/1/22
SPICE PRIVATE EQUITY - TOT RETURN IND;SPICE PRIVATE EQUITY ;SPICE PRIVATE ;95,95;94,69;107,41;109,67;105,68;105,17;109,85;108,94;111,16;113,61;108,97;112,84;120,33;115,2;112,08;105,06;102,05;100,2;100,16;103,79;104,11;96,2;95;94,73;96,2;90,16;89,09;92,47;101,34;96,97;94;84,36;80,02;78,73;79,47;74,17;87,62;84,86;81,38;75,96;77,13;79,94;76,37;75,4;74,25;82,11;80,85;83,28;88,41;87,28;87,75;89,15;87,96;92,5;95,28;95,38;98;107,17;110,95;113,95;111,5;112,23;119,04;119,81;119,52;119,52;119,08;122,76;130,7;125,73;129,72;129,57;135,97;147,66;156,4;161,51;168,42;156,11;153,46;150,53;147,38;147,8;148,79;157,95;156,99;154;156,52;158,8;159,6;163,26;171,76;171,97;166,23;173,8;175,29;177,01;180,12;171,33;187,1;187,91;181,24;178,67;178,11;173,39;161,07;108,74;56,47;36,57;43,66;28,66;17,33;12,52;11,03;9,53;7,22;16,68;19,03;16,95;17,32;19,76;17,24;17,39;16,53;17,43;18,48;18,05;17,85;18,11;21,17;23,06;21,61;21,33;21,45;20,21;22,75;24,42;31,18;33,42;28,9;31,72;26,07;23,57;24,32;23,37;22,26;21,62;22,82;23,39;21,75;18,66;19,11;19,25;20,72;21,06;21,68;21,22;21,94;22,92;25,31;26,97;28,33;28,85;27,79;30,58;27,65;27,72;29,43;27,69;27,53;26,44;27,31;27,63;28,53;28,44;29,87;29,93;31,11;29,15;27,49;27,86;27,23;27,82;28;25,84;30,64;31,46;30,21;27,51;26,38;27,09;30,38;30,86;29,43;27,27;28,23;31,76;30,5;29,91;30,15;31,82;31,46;31,94;31,94;31,94;31,1;31,58;33,02;35,05;34,99;34,69;33,79;35,23;33,32;32,9;34,27;34,69;34,57;34,69;32,3;33,02;31,82;31,58;32,54;32,3;31,1;30,15;28,71;28,47;27,75;26,56;26,08;25,84;26,8;27,69;27,44;27,69;27,94;28,19;24,95;25,7;23,95;23,33;22,95;13,97;13,72;12,85;12,85;12,29;12,6;12,35;11,85;11,54;11,85;11,6;11,35;10,79;13,1;18,59;18,84;18,84;20,08;21,21;20,58;21,21;19,34;18,71;18,96;20,33;18,09;18,84;19,71;19,58;19,71;20,21;20,21
ST GALLER KANTONALBANK - TOT RETURN IND;ST GALLER KANTONALBANK ;ST GALLER KANT ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;99,38;109,38;112,19;109,84;108,75;101,88;107,5;104,84;110,31;107,81;111,72;123,44;129,15;130,12;129,63;124,92;129,47;127,52;128,17;129,15;133,37;136,63;142,81;138,58;142,16;146,15;145,13;143,78;147,16;145,13;146,82;157,96;157,45;176,52;185,64;186,99;181,25;177,07;184,73;186,13;193,1;189,96;195,19;195,37;200,59;212,27;222,73;217,5;214,35;228,71;231,05;242;260,67;299,81;276,47;282,21;280,06;301,6;331,04;353,12;343,25;306,25;315,85;323,96;350,53;351,45;363,81;362,71;377,83;437,61;436,87;459,01;483,36;464,91;442,41;436,04;400,35;389,49;390,26;373,97;386,38;392,59;368,54;370,67;400,3;399,69;372,92;372,1;388,24;376,8;331,03;315,5;313,86;303,24;281,99;301,6;331,03;338,83;331,11;338,19;373,38;401,71;402,57;394,41;397,63;420,59;421,02;415,66;431,73;420,33;429,94;436,43;411,39;412,28;412,5;416,53;424,58;433,74;420,33;428,38;451,47;432,92;429,68;411,36;378,43;371,01;346,66;303,3;328,34;341,33;333,91;351,76;354,67;324,49;325,46;324,01;330,29;344,53;364,57;362,16;363,12;377,13;384,37;386,3;407,55;357,2;354,19;347,68;363,71;360,71;368,72;347,93;348,68;351,69;363,71;366,97;378,74;365,88;360,92;361,19;362,23;363,01;360,14;372,67;376,84;360,14;357,01;358,31;371,36;364,54;372,17;396,96;395,33;388,24;389,88;389,33;393,42;394,51;423,66;444,37;447,3;462,86;434,02;450,41;437,97;431,75;428,36;433,45;447,87;463,42;485,19;475,86;488,59;490,59;494,1;504,35;505,22;523,66;535,08;536,54;566,69;617,04;631,09;619,38;643,27;637,22;619,09;615,46;613,04;596,72;604,58;592,49;545,93;589,46;586,44;562,26;577,27;549,16;549,79;534,1;549,16;544,77;542,88;549,79;565,48;578,03;569,24;492,05;542,26;555,94;547,47;530,52;543,56;514,88;520,75;547,47;540,95;532,48;550,73;561,81;567,02;575,57;555,95;572,19;573,54;572,86;574,89;579,63;590,45;605,33;589,1;628,32;639,82;649,46;617,87;636,12;630,51;634,72;655,08
STADLER RAIL - TOT RETURN IND;STADLER RAIL ;STADLER RAIL AG ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100,15;103,16;105,85;106,13;102,65;103,67;112,02;110,39;112,2;107,7;107,05;98,89;97,87;97,08;91,34;87,33;95,07;91,3;87,95;96,5;96,55;106,63;108,07;107,64;108,93;107,12;97,78;96,46;96,41;93,25;99,77;98,16;98,55;104,79;82,44;86,43;85,7;87,87;77,67;76,82;75,27;66,77;74,42
STARRAG GROUP HOLDING - TOT RETURN IND;STARRAG GROUP HOLDING ;STARRAG GROUP HOLD ;116,05;145,36;150,05;150,05;147,71;147,47;147,46;158,16;149,84;154,59;152,21;142,94;151,03;136,76;141,51;115,35;121,06;125,82;113,84;106,57;111,41;90,83;81,14;85,98;94,46;86,1;96,88;97,61;93,49;99,06;94,17;85,25;87,23;82,52;82,52;81,29;80,54;76,82;71,87;71,87;70,38;70,63;68,65;69,39;74,59;74,35;69,39;69,64;70,63;80,91;79,8;75,34;76,58;63,69;69,39;67,41;66,91;68,4;68,46;66,91;66,17;72,36;76,82;79,3;80,98;81,04;82,03;95,41;96,59;110,28;106,87;104,83;111,52;109,04;108,79;110,28;123,47;125,76;115,85;114,33;106,96;110,52;120,68;116,61;120,68;149,9;139,73;146,09;162,6;179,19;174,55;199,82;199,3;196,98;211,42;191,31;194,92;170,68;185,64;181,77;199,56;208,29;179,29;168,74;205,66;174,02;142,38;139,74;135,79;125,24;117,33;122,34;135,79;139,55;147,76;140,92;157,34;168,01;164,18;163,77;150,77;154,6;149,13;163,91;171,02;159,25;151,59;150,62;150,62;155,12;169,76;180,18;194,11;210,58;237,89;232,4;221,33;243,03;237,24;248,82;195,87;177,64;167,81;162,02;143,36;163,47;170,7;216,41;202,05;171,59;169,23;183,95;177,47;169,53;182,18;172,62;183,36;186,01;184,24;189,1;187,77;186,26;189,14;179,75;192,32;177,17;196,86;195,35;229,42;240,77;237,44;263,04;264,5;252,28;255,21;223,04;216,24;207,27;212,06;194,12;199,53;174,01;186,54;189,32;199,07;195,73;187,77;178,22;169,63;171,7;140,03;152,76;146,4;137,33;130,48;148,78;146,87;146,87;144,92;159,77;164,66;189,31;176,25;172,66;171,35;200,24;208,24;227,98;221,94;226,04;225,21;221,07;205,01;199,54;201,03;193,91;216,93;217,26;221,9;244,42;241,77;240,08;232,64;227,91;227,23;210,33;202,21;174,48;145,4;178,54;171,1;162,31;182,6;168,82;182,6;168,13;163,99;166,06;163,31;157,79;159,17;165,37;158,48;135,74;137,12;137,81;132,99;130,23;123,34;126,79;117,83;140,57;135,05;137,12;141,26;152,28;148,15;156,41;153,66;167,44;165,37;160,55;158,48;155,04;160,55;171,57;168,82;168,13;164,23;161,41;169,17;176,21;132,51;147,31;162,12
STRAUMANN HLDG. - TOT RETURN IND;STRAUMANN HLDG. ;STRAUMANN HOLDING AG ;223,74;314,48;312,08;331,29;453,72;506,63;586,24;658,62;848;931,23;916,75;714,1;699,63;599,51;559,7;518,69;554,88;607,87;588,5;552,17;559,44;406,86;518,27;569,13;610,3;617,56;570,34;605,45;628,46;649,39;633,55;549,48;572,63;468,34;511,71;545,83;555,58;511,71;494,66;493,44;595,05;585,21;585,21;601,2;666,36;674,96;804,06;806,51;934,38;919,62;1120,02;1108,96;1166,07;1288,16;1255,77;1118,73;1255,77;1310,58;1220,88;1237,33;1199,46;1252,03;1402,77;1286,81;1291,83;1288,06;1342,04;1387,24;1453,78;1800,27;1521,57;1482,65;1529,1;1579,32;1544,17;1483,74;1544,51;1579,95;1591,35;1585,02;1341,95;1357,14;1439,43;1511,59;1493,87;1572,36;1626,79;1767,32;1810,74;1805,63;1792,86;1716,24;1716,24;1654,95;1634,52;1620,47;1594,93;1407,22;1537,47;1502,99;1435,27;1458,54;1264,59;1272,35;1511,56;1603,36;983,74;806,85;959,43;884,44;925,81;924,56;1109,48;1056,64;1059,29;1221,48;1280,12;1429,11;1283,29;1300,73;1545,34;1495,15;1352,5;1405,32;1446,85;1314,49;1215,35;1243,75;1173,55;1165,52;1098,53;1147,83;1155,87;1260,9;1219,1;1266,3;1237,98;1268,48;1108,35;978,18;833,31;762,5;817,51;872,52;882,87;895,94;777,75;837,66;840,95;825,87;754,95;732,62;638,81;690,74;642,16;629,31;625,41;679,57;731,5;714,19;702,32;733,43;818,12;804,87;977,72;958,13;1006,52;987,51;961,01;1037,64;1051,46;1101,59;1147,74;1155,39;1247,16;1264,22;1318,93;1258,34;1380,7;1478,06;1475,12;1255,98;1545,71;1511,89;1587,16;1499,15;1551,36;1758,71;1706,5;1670,7;1693,07;1828,82;1819,87;1892,96;1964,56;2010,81;2055,79;2301,82;2312,38;2235,4;2306,34;2312,38;2214,27;2190,12;2399,93;2412;2594,64;2786,33;3198,17;3301,72;3283,45;3329,14;3770,79;3859,12;4221,57;4392,14;4194,16;4148,48;3789,06;3667,23;4159,77;4055,4;4565;4727,71;4755,34;4577,29;4304,06;3917,25;3794,45;4365,46;4764,55;5065,41;5082,66;5112,31;5396,54;5023,34;4844,16;5066,59;5443,5;5794,45;5872,3;5699,3;5652,34;4263,35;4559,88;4843,78;5242,24;5690,51;5553,54;5849,89;5964,45;6474,98;6422,06;6350,46;7004,18;7608,1;8322,16;8885,11;9251,02;10670,89;11224,45;10567,68;12256,51;12466,05;12306,55;9538,75;9138,43;9310,44;7276,52;7282,81;7248,23;8034,04;6572,45;5698;5983,41
SULZER 'R' - TOT RETURN IND;SULZER 'R' ;SULZER AG ;1101,22;1200,17;1186,34;1196,98;1167,19;1209,75;1149,1;1235,51;1387,24;1139,05;1258,27;1212,75;1266,94;1206,25;1229,01;1184,57;1117,47;768,95;658,31;382,82;342,43;277,71;213,81;269,96;282,13;299,84;349,07;407,71;359,03;394,99;341,33;315,33;258,9;212,15;195,56;226,81;208;199,15;176,19;187,54;191,47;207,79;215,23;249,57;333,15;291,93;367,49;372,07;381,23;372,64;366,35;351,46;386,95;363,76;408,07;394,08;410,4;437,21;474,52;517,37;536,02;551,76;565,46;599,86;585,37;617,43;630,49;731,41;729,63;770,6;729,04;757,54;826,4;923,17;1015,19;1094,75;1258,94;1065,17;1097,66;1108,5;1203,58;1197,56;1316,72;1506,88;1669,36;2096,63;1753,61;2031,64;1951,6;1919,86;1916,2;1955,26;1941,83;2037,03;2257,94;2024,83;2032,15;1397,48;1491,46;1642,81;1697,38;1778,5;1573,82;1576,31;1733,57;1410,32;901,73;755,71;748,84;690,81;536,67;763,19;817,07;928,49;915,46;912,85;1037,96;1138,95;1062,06;1049,03;1056,85;1155,89;1278,39;1348,76;1461,6;1262,54;1353,39;1492,33;1397,48;1529,74;1601,89;1775,57;1879,78;1772,9;1937,23;1870,43;2160,9;2109,06;1912,62;1566,11;1444,69;1244,15;1336,92;1386,03;1369,66;1609,76;1766,65;1773,47;1824,87;1550,79;1601,13;1767,54;1852,84;1946,53;1915,76;2016,45;2015,05;2030,43;2291,92;2268,15;2262,22;2273,63;2195,18;1975,52;1971,24;1972,67;1992,64;1988,36;2052,55;1934,16;1721,63;1827,79;1984,63;2000,75;1816,07;1766,23;1782,35;1710,53;1585,94;1568,35;1553,7;1459,16;1675,35;1550,76;1591,94;1576,81;1439,86;1610,1;1490,55;1442,89;1523,85;1557,14;1427,75;1385,38;1420,19;1438,35;1641,43;1636,78;1580,98;1832,08;1717,69;1899,04;1785,58;1956,7;1952,98;2018,08;2060,86;1947,4;2230,67;2174,95;2125;2084,65;2046,22;2221,06;2474,68;2209,54;2271,02;2543,85;2351,72;2411,28;2268,79;2270,77;2369,5;2399,11;2403,06;2330;2014,07;1883,75;1541,16;1788,97;1967,67;1996,3;2192,51;1924,83;2172,08;2053,56;1912,57;1980;2051,52;2159,82;2206,81;2178,21;1798,15;1221,92;1481,89;1650,04;1624;1670,65;1741,16;1596,88;1501,41;1971,15;2019,97;2107,84;2241,27;2336,74;2351,1;2607,83;2916,36;2986,17;3119,04;2782,45;3042,26;2983,59;3070,75;2953,42;2375,14;2559,52;2535,73;2411,05;2070,38;2230,18;1977,31;2019,45;2351,35
SUNRISE COMMUNICATIONS GROUP - TOT RETURN IND;SUNRISE COMMUNICATIONS GROUP ;SUNRISE COMMUN ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;98,03;111,32;114,74;102,7;102,83;100,13;79,61;70,99;70,99;80,46;77,76;78,36;78,42;86,58;80,81;81,57;87,57;86,54;91,58;93,1;92,06;86,54;92,55;92,48;98,07;105,81;106,82;117,73;109,28;110,07;117,58;117,08;119,9;129,29;128,56;128,06;129,14;115,63;118,67;122,77;123,23;132,57;135,61;134,78;135,77;133,33;131,36;124,22;113,05;110,77;108,93;114,96;117,62;118,67;120,44;124,14;123,01;123,74;122,45;128,25;126,88;125,59;131,55;137,42;142,27;145,85;181,93;185,5;188,9;187,37;187,54;187,37;187,2;184,82;184,82;184,82;184,82;184,82;184,82;184,82;184,82;184,82;184,82;184,82;184,82;184,82;184,82;184,82;184,82;184,82;184,82;184,82;184,82
SUNSTAR 'B' DEAD - 31/10/12 - TOT RETURN IND;SUNSTAR 'B' DEAD ;SUNSTAR HOLDING AG ;215,5;225,13;230,9;219,35;219,35;230,9;223,2;230,9;240,52;251,1;239,14;249,11;231,17;249,11;239,14;230,97;231,17;232,37;231,17;235,16;248,91;253,19;233,94;248,43;238,29;253,61;243,26;244,29;227,73;238,08;222,55;237,67;238,08;227,73;218,2;209,72;209,72;201,46;201,25;201,25;201,25;205,91;211,84;203,58;227,73;217,35;227,99;217,13;206,49;217,13;226,9;217,13;236,67;211,7;222,56;227,99;225,82;233,42;239,86;221,86;217,86;231,19;237,86;224,53;231,64;233,42;233,42;233,86;266,76;292,33;272,99;261,84;261,84;257,07;270,72;284,37;288,69;272,99;256,16;245,92;279,82;278,68;256,52;263,52;256,52;303,16;274,25;290,34;281,24;289,17;296,17;288,71;307,83;307,36;310,24;275,5;276,46;297,06;299,46;301,85;308,56;310;293,71;307,84;310,96;321,02;303,73;279,53;312,37;311,14;311,14;283,98;308,42;296,32;295,09;298,79;301,02;306,2;305,95;310,01;309,5;304,93;304,93;304,93;311,03;314,84;304,93;304,93;310,01;313,82;301,43;308,66;315,89;322,86;300,13;299,62;272,5;294,19;280,25;280,25;281,54;275,08;267,26;254,35;273,78;273,26;262,56;250,31;250,31;247,7;226,84;255,53;247,7;244,31;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92;243,92
SWISS LIFE HOLDING - TOT RETURN IND;SWISS LIFE HOLDING ;SWISS LIFE HOLDING ;483,65;441,66;437,34;484,91;478,98;509,41;512,52;668,09;707,02;727,48;743,26;732,69;713,64;717,32;727,8;626,78;624,61;646,59;616,61;580,8;494,96;363,65;353,27;403,8;383,66;302,27;276,68;298,5;290,65;282,31;184,04;124,87;116,99;71,66;71,53;102,42;81,45;66,37;59,71;38,47;64,1;112,63;99,02;121,7;121,7;139,65;178,77;177,63;171,58;186,32;172,53;145,88;135,3;131,88;143,51;124,91;116,67;125,33;130,02;129,09;142,45;151,75;151,58;154,37;139,49;138,65;143,72;153,53;151,23;158,92;173,7;189,86;205,42;203,08;213,45;242,4;246,94;241,54;252,56;245,65;262,01;258,28;255,64;258,5;268,39;278,06;271,03;268,17;275,64;291,03;281,8;263,33;259,85;275,39;281,47;265,93;254,9;239,14;230,36;261,65;279,67;261,2;241,16;259,7;193,38;154,96;105,8;69,04;69,38;60,23;51,65;81,45;85,62;85,62;90,41;108,12;117,46;120,07;122,28;127;132,52;135,93;138,44;140,55;133,12;122,58;103,11;114,93;111,54;114,01;125,1;116,68;141,12;163;156,43;158,17;161,97;145,03;144,41;124,92;116,09;105,03;111,41;98,8;91,94;100,29;113,33;116,52;103,57;84,6;100,5;104,46;121,69;127,72;132,73;134,97;135,41;152,81;169,54;156,94;169,03;182,14;180,53;191,11;203,53;200,77;207,56;214,34;212,96;219,28;248,38;251,37;254,98;253,56;249,32;248,73;273,61;268,42;255,45;259,81;278,8;243,07;272,43;286,58;270,3;269,45;263,74;276,73;268,72;264,71;289,84;319,94;329,28;314,6;311,68;308,41;306,97;324,05;286,37;278,21;309,99;317,02;325,56;347,54;361,99;384,59;403,69;403,69;420,52;420,65;431,94;458,44;450,13;444,93;452,59;424,67;448,05;457,53;441,04;441,94;470,23;464,97;458,08;479,94;481,29;501,67;515,16;534,18;510,84;556,72;587,08;597,6;646,44;637,02;672,79;672,79;655,6;660,91;693,05;690,39;678,79;683,13;625,14;435,53;498,69;492,12;503,5;501,54;546,35;513,67;470,18;614,69;609,95;609,81;679,47;697,66;694,14;729,61;705,14;728,53;749,13;730,39;782,9;817,29;884,52;921,08;863,76;925,72;904,5;875,4;750,09;812,98;806,84;716,62;781,62
SWISS PRIME SITE - TOT RETURN IND;SWISS PRIME SITE ;SWISS PRIME SITE ;NA;NA;NA;NA;103,25;99,81;100,19;99,43;101,34;105,16;100,19;100,76;102,49;99,43;100,19;99,43;99,43;98,47;95,6;96,56;95,6;95,98;99,04;97,9;95,6;93,31;93,59;95,98;99,43;99,43;99,43;100,59;100,59;88,05;92,15;94,41;95,64;96,05;94,41;100,57;100,98;100,36;100,98;99,35;98,5;98,07;98,28;98,5;98,5;98,07;101,92;109,63;112,41;113,06;113,06;118,49;119,61;124,76;130,36;125,43;127,67;133,5;132,94;131,59;132,15;133,83;135,85;143,64;142,94;141,07;136,32;139,42;144,19;145,38;152,53;158,25;155,86;148,95;153;156,24;153,63;160,85;160,11;165,71;183,03;185,52;176,05;186,02;183,9;184,4;178,67;169,22;175,99;174,3;167,92;156,2;149,69;165,58;164,01;175,99;168,57;172,6;164,12;173,19;177,32;177,32;145,7;143,5;139,65;131,54;118,76;140,2;147,21;148,45;148,04;152,87;151,99;158,6;164,03;168,29;170,34;175,34;180,33;195,45;185,76;188,85;189,29;203,24;206,03;220;221,24;207,43;217,2;212,39;211,62;227,44;234,37;238,93;234,7;235,03;232,42;237,79;230,63;226,24;229,65;229,33;231,77;248,21;258,49;261,73;271,8;278,96;266;261,73;267,19;257,52;263,92;265,3;261,84;265,65;276,5;261,09;251,84;246,95;249,48;257,1;248,76;249,3;250,39;254,74;264,35;270,52;281,22;273,62;281,79;274,57;278,94;270,57;276,85;281,98;277,61;311,65;331,99;322,67;326,65;305,71;288,81;309,53;298,47;284,19;307,11;316,57;315,76;327,63;337,28;340,1;354,71;353,45;372,98;374,03;368,15;357,86;338,12;338,96;350,09;349,04;366,89;366,68;377,8;391,82;380,21;382,18;379,78;380,65;376,27;370,14;394,23;397,52;379,34;404,96;425,1;419,62;413,91;415,05;404,54;385,79;375,43;373,36;366,22;389,24;384,64;406,05;393,59;393,83;411,15;421,25;474,66;471,05;484,53;501,37;538,42;574,98;569,21;466,09;459,08;447,56;438,8;411,27;416,27;418,28;386,99;408,51;435,05;440,55;431,79;457,9;465,95;478,68;476,34;506,47;510,1;474,52;478,42;461,79;466,73;466,73;464,91;488,75;502,5;505,15;450,75;466,1;445,09;429,74;436,75
