Date;Date;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
ARYZTA AG ;ARYZTA AG - NET SALES OR REVENUES;;;;;;;;0.0033515136937839734;0.004651069843752317;0.005719764154589116;0.005202095913979445;0.006183629735120678;0.006288924143287533;0.006650872891795692;0.006638036601404525;0.005534270218065322;0.005047877232933906;0.004662655025746875;0.004883025025921441;0.004066079297470478;0.003903034068700388;0.001900490515378768;0.049101678206011044
ASCOM HOLDING AG ;ASCOM HOLDING AG - NET SALES OR REVENUES;0.0038099372525369456;0.003551945203586719;0.002600008051529217;0.0019064248780735645;0.0014891523012561835;0.0006979589586923881;0.0005121498361460206;0.00040580143443054813;0.0005218063603310375;0.0006036523652819461;0.0006797378226941518;0.0005495352810618858;0.000558567764201202;0.0005568316769367508;0.0005067543975958623;0.000534930384403279;0.0004226198350291605;0.00034971880355404416;0.00038987571573760306;0.0003017209262550019;0.0003479019581131812;0.00033406195856428174;
ASMALLWORLD AG ;ASMALLWORLD AG - NET SALES OR REVENUES;;;;;;;;;;;;;;;;5.249036951143179e-06;5.040901560353464e-06;5.698033848026176e-06;1.0802678779856662e-05;1.4579445252406773e-05;1.486321354857203e-05;1.767720655524544e-05;
ATHRIS HOLDING AG ;ATHRIS HOLDING AG - NET SALES OR REVENUES;;;;;;;;;6.5419215850398595e-06;0.00016244076832325343;;;;;;;;;;;;;
AUTONEUM HOLD ;AUTONEUM HOLD - NET SALES OR REVENUES;;;;;;;;;;;0.0019962538472854336;0.0021132300728194664;0.0023690078340743285;0.0024871491891542974;0.0022071141287447237;0.002716191063356377;0.0025676868667337594;0.00248766717542641;0.0027927831882428302;0.0024502426863847347;0.0021550112038854208;0.001948675658122486;
BACHEM HOLDING ;BACHEM HOLDING - NET SALES OR REVENUES;0.00013504830074192642;0.00016740722432469286;0.00019411735745547486;0.00018794872543788845;0.00018632112263233103;0.0001652728952948645;0.00016411153536832765;0.0001751038487236672;0.00020953598609034453;0.000212820812954229;0.00018193458908398583;0.00018314660631102043;0.0001953347980731896;0.000206749651463888;0.000207689134649265;0.00027163733667979947;0.0002820781635563811;0.00029541697008518114;0.0003458081309132586;0.0003345860034644324;0.0004977040841697804;0.0005767112715476424;
BALOISE HOLDING AG ;BALOISE HOLDING AG - NET SALES OR REVENUES;0.011908811312933927;0.010740278841401262;0.011172290026961096;0.012296706851073643;0.011500188186501732;0.009785408264139112;0.008910451645515113;0.00849101534919115;0.00875981352845679;0.011062239729264326;0.011212223024583384;0.00965662237091582;0.01167441397961743;0.011468043473061523;0.011364373853571915;0.011188483079040542;0.010327287631147236;0.010237715908239183;0.00847395174180575;0.011318747522327532;0.010364506947148345;0.011589371439344317;
BANK CA ST. GALLEN ;BANK CA ST. GALLEN - NET SALES OR REVENUES;9.298069809477611e-05;8.732353831177886e-05;8.673427935196987e-05;8.217209705531997e-05;7.79262118745375e-05;6.571075466857047e-05;6.260840646199973e-05;6.962637884005599e-05;7.930897905805714e-05;8.721828717068055e-05;6.812253441898935e-05;;;;;;;;;;;;
BANK CLER AG ;BANK CLER AG - NET SALES OR REVENUES;0.0005479987625230719;0.0005199843598346013;0.0005251469739184782;0.0004876268652759686;0.00045811189896993867;0.00041828597572983407;0.000406769274338423;0.0004249498585134361;0.000535666035857293;0.0005056811546288876;0.0004966346367231112;0.0005027349724056919;0.00048485991705988953;0.0004561501625680195;0.0004108346425250769;0.0004603708811166117;0.00039237681132797697;0.00035125792763943055;0.0003729513149658979;0.00031821052413704006;0.00035864853817162395;0.0003222248197306266;
BANK J SAFRA ;BANK J SAFRA - NET SALES OR REVENUES;0.0005953629948685064;0.0005162098777020178;0.0008109186299467635;0.0006765748686984788;0.0006965023062992612;0.0007373152821606489;0.0007812387108763234;0.0009174529414543021;0.001071924154302194;0.0009956518995029385;0.00101816324318176;0.001057773142762051;0.0009883097839421269;0.0015581911541613209;0.0013934515180113085;0.0015835762412753235;0.0014189648831902872;0.0015698952749144653;0.0018219889837574632;0.001682354930101644;0.001736331625703;0.001615780337890343;
BANK LINTH LLB AG ;BANK LINTH LLB AG - NET SALES OR REVENUES;0.0001860850246172925;0.00017957628736588974;0.00018679884505300843;0.00017802091815243958;0.0001695579185640219;0.00014320366750252299;0.00013141420814273655;0.00012919336746586649;0.00017131281054805596;0.000170555784804186;0.00016708436448769674;0.00017165974883602398;0.00016075401432549978;0.00015017860554703555;0.00014287018868583344;0.00016269931080639655;0.00014024346385562648;0.00013180909610477674;0.00013929396333101746;0.00012069476967328932;0.00013409082410479746;0.00011699044610646553;
BANQUE CANT VAUDOISE ;BANQUE CANT VAUDOISE - NET SALES OR REVENUES;0.002292514658192402;0.0022208403851425194;0.00212224038352683;0.0019703643751259876;0.001813070340289816;0.0016122217339867783;0.0015408448241960313;0.0015296135879188026;0.0016878114707000835;0.0016138747803873664;0.0016130683099823578;0.0017047526479021516;0.0016466448540035435;0.0015282891598675191;0.001394139159339597;0.0016089580890182368;0.001377480625152906;0.00129306749095814;0.0013840893933579521;0.0012101899435190905;0.0013235131431423156;0.0012598089572889019;
