Date;Date;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
APG SGA SA ;APG SGA SA - EMPLOYEES;0.0003745507854724235;0.0003636179466234827;0.0004240873977703477;0.0004309808738935331;0.00044622245434464526;0.0004199876033870541;0.00044963712878590947;0.00045660394820249133;0.0004514593629114915;0.0004266656190989062;0.00037148394398970594;0.00032533626283626286;0.00031633624407961195;0.00028838188729493917;0.0002916180427099763;0.00026838015625375205;0.0002627851622200318;0.000236179946365764;0.00022821619376467715;0.00023775569875086812;0.00024025299472177383;0.0002455991729969048;
APTG AG ;APTG AG - EMPLOYEES;0.0003982066245548924;0.000490234910179874;0.0004406932296107529;0.0004243299344815959;0.0004347808529511928;0.00038319110641356596;5.854650114399863e-05;4.738868815288371e-05;4.4325101085855534e-05;3.21908843054162e-05;;;;;;;5.834399811022367e-05;7.554117745032143e-05;0.0001109130701696331;;;;
ARBONIA AG ;ARBONIA AG - EMPLOYEES;0.0012570450045767477;0.0011876021863827676;0.0021574807675726424;0.0022493477091171743;0.0031013470130016973;0.0030471306028217837;0.002786813454454335;0.0032575541750270534;0.0033550270957701266;0.003160162744016451;0.003051437616516861;0.002953127953127953;0.002875166537447516;0.0033434879886040767;0.0030453973874040112;0.002912630958922298;0.0030002096589200385;0.0037037930317359406;0.0037418327129656466;0.004035750578796788;0.00391108388352574;0.0030712608797128474;
ARUNDEL AG ;ARUNDEL AG - EMPLOYEES;0.0001511345274713288;0.00015194035626766957;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;;0.0;0.0;9.486828961011979e-07;5.4608080084569714e-06;;;;;
ARYZTA AG ;ARYZTA AG - EMPLOYEES;;;;;;;;;;0.005098163100844219;0.004926772874189717;0.006220271845271845;0.006273840448149481;0.007545831430141907;0.009418759989803424;0.008851836732579891;0.009418998133940744;0.00921010777359672;0.00862428996236715;0.008098231088222371;0.007443928327296018;0.0047040123175866805;0.0809875563928412
ASCOM HOLDING AG ;ASCOM HOLDING AG - EMPLOYEES;0.007075724312222907;0.006577588927314071;0.004664961375473825;0.003220384863260011;0.0026093581530832423;0.0016431539165747283;0.0012189381538180515;0.0010107728426020962;0.0009975883861668474;0.0011796049469205054;0.0011028594252063186;0.000886430573930574;0.0008592507488726882;0.0007674054920298214;0.0008527313800622755;0.0007806566650328436;0.0005635176402841116;0.000556547349528573;0.0005687147548615755;0.0006058784275860387;0.0006273000799049166;0.000664083892202811;
AUTONEUM HOLD ;AUTONEUM HOLD - EMPLOYEES;;;;;;;;;;;0.004430934021289982;0.004643793706293706;0.0047644507927328055;0.004651367588198407;0.005370297093422857;0.005378432499801069;0.005561653478393273;0.005521331963884036;0.005908973688955021;0.006156325075347923;0.006250492371845089;0.0060204849032781645;
BACHEM HOLDING ;BACHEM HOLDING - EMPLOYEES;0.0002470720970835636;0.00030388071253533913;0.0003059305173674647;0.0003292215008908933;0.0003419019710514024;0.00034258807527040667;0.00035654819196695166;0.0003629415998532623;0.00040932315570641896;0.0004146622385104459;0.00036779545092881525;0.0003465003465003465;0.0003129399960603523;0.00031402658532620056;0.00035748349718412614;0.00040445360389819825;0.00046438027764153636;0.00048100617207825157;0.0005007063291197017;0.0005664869508699186;0.0007217376114350639;0.0008334100301075094;
BALOISE HOLDING AG ;BALOISE HOLDING AG - EMPLOYEES;0.005536123451938892;0.005599067060239806;0.005558482865655627;0.005816246515739115;0.005444856192531192;0.004788619985446351;0.004366983520330858;0.0043006628283687644;0.0050525143003173345;0.005123806686646839;0.004633274212058843;0.004497121684621685;0.004267143047055501;0.0037765446817734907;0.0038297493643480855;0.0034781126565727478;0.0031610114098091914;0.0030284731080234286;0.0029992172184553872;0.0035855622734696996;0.0037642897930643708;;
BANK CA ST. GALLEN ;BANK CA ST. GALLEN - EMPLOYEES;6.899619732386749e-05;7.142495380104124e-05;7.344887160179216e-05;7.449052141369708e-05;5.384283008683503e-05;5.075378892894913e-05;4.390987585799898e-05;4.348609030499917e-05;4.323065414546404e-05;4.419426489387648e-05;4.320806157043388e-05;;;;;;;;;;;;
