Date;Date;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
BANK CLER AG ;BANK CLER AG - DIVIDENDS PER SHARE - GROSS;0.001021165149435506;0.001263505573917677;0.0006999649605775616;0.0011518192646514799;0.0010035792358275425;0.0008059889721744159;0.0006436944053658365;0.0005296067846159821;0.0005785705193891838;0.0006354529808922819;0.0006317015196281946;0.0;0.0005819393192473845;0.0005497741039292966;0.0005115205801780092;0.0005047351164129485;0.00044923966187228114;0.00041593540985235446;;;;;
BANK J SAFRA ;BANK J SAFRA - DIVIDENDS PER SHARE - GROSS;0.0006006853820208858;0.0005574289296695634;0.0001029360236143473;0.0003387703719563176;0.00035420443617442676;0.00042670004409233787;0.00032184720268291824;0.00039720508846198657;0.00020892824311276084;0.00031772649044614095;0.0003158507598140973;0.0;;;;;;;;;;;
BANK LINTH LLB AG ;BANK LINTH LLB AG - DIVIDENDS PER SHARE - GROSS;0.006006853820208859;0.0074323857289275135;0.004117440944573892;0.006775407439126352;0.005903407269573779;0.005689333921231172;0.004291296035772244;0.0035307118974398804;0.0038571367959278923;0.0;0.0042113434641879634;0.003759966260569422;0.0025863969744328195;0.002443440461907985;0.0022734248007911517;0.002243267184057549;0.0019966207194323606;0.0020796770492617724;0.001485287484819124;0.0019757016358611977;0.002715338567419956;;
BANQUE CANT VAUDOISE ;BANQUE CANT VAUDOISE - DIVIDENDS PER SHARE - GROSS;0.0010379843401320907;0.0;0.0;0.00013550814878252705;0.00017710221808721338;0.00021335002204616894;0.00025032560208671417;0.00041191638803465266;0.0006428561326546487;0.001094391244870041;0.0011230249237834569;0.0010026576694851792;0.0007112591679690254;0.000977376184763194;0.0009093699203164608;0.0009253477134237389;0.0008236060467658486;0.0007625482513959832;0.0005776117996518815;0.0007112525889100312;0.0009775218842711841;0.0009170085001731165;
BANQUE CANTON GENEVE ;BANQUE CANTON GENEVE - DIVIDENDS PER SHARE - GROSS;0.0;0.0;0.0;0.0;0.00029517036347868897;0.0007111667401538965;0.0008940200074525508;0.0007355649786333084;0.0009642841989819731;0.0011473456599443979;0.0007896268995352431;0.0007049936738567666;0.0007274241490592305;0.0006872176299116208;0.0007104452502472349;0.0007711230945197824;0.0006863383723048739;0.0006701181603176821;0.0005611086053761134;0.0007408881134479492;0.0010182519627824835;0.0011152806083186552;
BANQUE CANTONALE ;BANQUE CANTONALE - DIVIDENDS PER SHARE - GROSS;0.0005370127315266719;0.0006644552841661197;0.00044180141335277857;0.0007568130109504135;0.0006859759247244731;0.0005826826157660926;0.0004795523319975482;0.0004207431677782524;0.00048824923275120563;0.0005994439786417193;0.0006745168448474388;0.0006579940955996488;0.0007222513551103649;0.0007370027293229958;0.0006857217555386311;0.0007571026746194228;0.0007487327697871352;0.0007278869672416203;0.0005528570082382295;0.0006618600480135013;0.0009096384200856853;0.0008550484663776357;
BANQUE CANTONALE 1 ;BANQUE CANTONALE 1 - DIVIDENDS PER SHARE - GROSS.1;0.0;0.0004459431437356508;0.0002470464566744335;0.00040652444634758114;0.00044275554521803345;0.0003555833700769482;0.0003754884031300713;0.00044133898717998505;0.0004949992221440795;0.00054366532809673;0.0005966069907599614;0.0005326618869140014;0.0005496093570669741;0.0005497741039292966;0.0005115205801780092;0.0005047351164129485;0.00044923966187228114;0.0004274891712371421;0.0003053090941017088;0.0003655048026343216;0.0003258406280903947;;
BARRY CALLEBAUT ;BARRY CALLEBAUT - DIVIDENDS PER SHARE - GROSS;0.003802939153574229;0.004850374926698095;0.002767332058848113;0.0046194727919963464;0.0;0.0037928892808207814;0.003754884031300713;0.0033835989017132187;0.00369642276276423;0.004412867922863069;0.0;0.004856623086568836;0.0032006662558606144;0.0044287358372082225;0.0044047605515328565;0.004065921771104307;0.001045730101802699;0.0046215045539150495;0.00396076662618433;0.005136824253239114;0.005973744848323903;0.006939523785093854;
BASELLAND KANTONALBK ;BASELLAND KANTONALBK - DIVIDENDS PER SHARE - GROSS;0.012614393022438603;0.015608010030747778;0.008646625983605173;0.014905896366077975;0.013577836720019693;0.01232689016266754;0.010013024083468568;0.0088267797435997;0.00964284198981973;0.011649971316358502;0.011581194526516899;0.01033990721656591;0.01066888751953538;0.010079191905370438;0.009662055403362395;0.009814293930251777;0.008735215647516578;0.008087632969351336;0.005776117996518815;0.006914955725514192;0.009503684985969846;0.008674404731367318;
BASILEA PHARMACEUTIC ;BASILEA PHARMACEUTIC - DIVIDENDS PER SHARE - GROSS;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001616498109020512;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
